Variable_Num,Type,Long_Name,Short_Name,Numeric_Name,CGCS_Name,Age,Sex,N,Mean,SD
75,Linear,,,,,6,Male,,,
75,Linear,,,,,7,Male,,,
75,Linear,,,,,8,Male,,,
75,Linear,,,,,9,Male,,,
75,Linear,,,,,10,Male,,,
75,Linear,,,,,11,Male,,,
75,Linear,,,,,12,Male,,,
75,Linear,,,,,13,Male,,,
75,Linear,,,,,14,Male,,,
75,Linear,,,,,15,Male,,,
75,Linear,,,,,16,Male,,,
75,Linear,,,,,6,Female,,,
75,Linear,,,,,7,Female,,,
75,Linear,,,,,8,Female,,,
75,Linear,,,,,9,Female,,,
75,Linear,,,,,10,Female,,,
75,Linear,,,,,11,Female,,,
75,Linear,,,,,12,Female,,,
75,Linear,,,,,13,Female,,,
75,Linear,,,,,14,Female,,,
75,Linear,,,,,15,Female,,,
75,Linear,,,,,16,Female,,,
76,Linear,,,,,6,Male,,,
76,Linear,,,,,7,Male,,,
76,Linear,,,,,8,Male,,,
76,Linear,,,,,9,Male,,,
76,Linear,,,,,10,Male,,,
76,Linear,,,,,11,Male,,,
76,Linear,,,,,12,Male,,,
76,Linear,,,,,13,Male,,,
76,Linear,,,,,14,Male,,,
76,Linear,,,,,15,Male,,,
76,Linear,,,,,16,Male,,,
76,Linear,,,,,6,Female,,,
76,Linear,,,,,7,Female,,,
76,Linear,,,,,8,Female,,,
76,Linear,,,,,9,Female,,,
76,Linear,,,,,10,Female,,,
76,Linear,,,,,11,Female,,,
76,Linear,,,,,12,Female,,,
76,Linear,,,,,13,Female,,,
76,Linear,,,,,14,Female,,,
76,Linear,,,,,15,Female,,,
76,Linear,,,,,16,Female,,,
77,Linear,,,,,6,Male,,,
77,Linear,,,,,7,Male,,,
77,Linear,,,,,8,Male,,,
77,Linear,,,,,9,Male,,,
77,Linear,,,,,10,Male,,,
77,Linear,,,,,11,Male,,,
77,Linear,,,,,12,Male,,,
77,Linear,,,,,13,Male,,,
77,Linear,,,,,14,Male,,,
77,Linear,,,,,15,Male,,,
77,Linear,,,,,16,Male,,,
77,Linear,,,,,6,Female,,,
77,Linear,,,,,7,Female,,,
77,Linear,,,,,8,Female,,,
77,Linear,,,,,9,Female,,,
77,Linear,,,,,10,Female,,,
77,Linear,,,,,11,Female,,,
77,Linear,,,,,12,Female,,,
77,Linear,,,,,13,Female,,,
77,Linear,,,,,14,Female,,,
77,Linear,,,,,15,Female,,,
77,Linear,,,,,16,Female,,,
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,6,Male,37,101.8,4.4
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,7,Male,44,104.1,3.5
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,8,Male,44,107.8,3.8
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,9,Male,47,109.9,4
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,10,Male,46,112.8,4
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,11,Male,43,115.8,4.5
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,12,Male,44,117.9,4.8
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,13,Male,43,121,5.5
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,14,Male,40,124.1,5.9
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,15,Male,33,126.3,5.1
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,16,Male,23,130.9,5.7
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,6,Female,25,98.9,4.3
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,7,Female,31,101.6,4.6
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,8,Female,36,104.5,5
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,9,Female,31,106.7,5.2
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,10,Female,35,109.5,4.9
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,11,Female,30,111.6,4.9
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,12,Female,27,114,4.6
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,13,Female,29,116.1,3.9
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,14,Female,25,118.1,3.9
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,15,Female,19,120.1,5.1
78,Linear,Condylion-Pogonion,CO-PG,33-3,condylion_pogonion,16,Female,9,121.4,3.9
79,Linear,Condylion-Gnathion,CO-GN,33-2,,6,Male,37,103,4.5
79,Linear,Condylion-Gnathion,CO-GN,33-2,,7,Male,44,105.3,3.6
79,Linear,Condylion-Gnathion,CO-GN,33-2,,8,Male,44,109.2,3.8
79,Linear,Condylion-Gnathion,CO-GN,33-2,,9,Male,47,111.7,3.9
79,Linear,Condylion-Gnathion,CO-GN,33-2,,10,Male,46,114.5,3.9
79,Linear,Condylion-Gnathion,CO-GN,33-2,,11,Male,43,117.6,4.3
79,Linear,Condylion-Gnathion,CO-GN,33-2,,12,Male,44,119.7,4.5
79,Linear,Condylion-Gnathion,CO-GN,33-2,,13,Male,43,123.1,5.5
79,Linear,Condylion-Gnathion,CO-GN,33-2,,14,Male,40,126.5,5.7
79,Linear,Condylion-Gnathion,CO-GN,33-2,,15,Male,33,128.7,5
79,Linear,Condylion-Gnathion,CO-GN,33-2,,16,Male,23,133.6,5.4
79,Linear,Condylion-Gnathion,CO-GN,33-2,,6,Female,25,100.5,4.1
79,Linear,Condylion-Gnathion,CO-GN,33-2,,7,Female,31,103.3,4.4
79,Linear,Condylion-Gnathion,CO-GN,33-2,,8,Female,36,106.3,4.7
79,Linear,Condylion-Gnathion,CO-GN,33-2,,9,Female,31,108.3,5
79,Linear,Condylion-Gnathion,CO-GN,33-2,,10,Female,35,111.3,4.9
79,Linear,Condylion-Gnathion,CO-GN,33-2,,11,Female,30,113.4,4.7
79,Linear,Condylion-Gnathion,CO-GN,33-2,,12,Female,27,115.7,4.6
79,Linear,Condylion-Gnathion,CO-GN,33-2,,13,Female,29,117.8,4.3
79,Linear,Condylion-Gnathion,CO-GN,33-2,,14,Female,25,119.9,4
79,Linear,Condylion-Gnathion,CO-GN,33-2,,15,Female,19,122,4.9
79,Linear,Condylion-Gnathion,CO-GN,33-2,,16,Female,9,123.6,4
80,Linear,,,,,6,Male,,,
80,Linear,,,,,7,Male,,,
80,Linear,,,,,8,Male,,,
80,Linear,,,,,9,Male,,,
80,Linear,,,,,10,Male,,,
80,Linear,,,,,11,Male,,,
80,Linear,,,,,12,Male,,,
80,Linear,,,,,13,Male,,,
80,Linear,,,,,14,Male,,,
80,Linear,,,,,15,Male,,,
80,Linear,,,,,16,Male,,,
80,Linear,,,,,6,Female,,,
80,Linear,,,,,7,Female,,,
80,Linear,,,,,8,Female,,,
80,Linear,,,,,9,Female,,,
80,Linear,,,,,10,Female,,,
80,Linear,,,,,11,Female,,,
80,Linear,,,,,12,Female,,,
80,Linear,,,,,13,Female,,,
80,Linear,,,,,14,Female,,,
80,Linear,,,,,15,Female,,,
80,Linear,,,,,16,Female,,,
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,6,Male,37,48.7,3.5
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,7,Male,44,49.1,3.4
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,8,Male,44,51.3,3.1
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,9,Male,47,52.8,3.3
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,10,Male,46,54,3.5
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,11,Male,43,55.8,3.5
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,12,Male,44,57.2,3.9
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,13,Male,43,59.4,4.2
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,14,Male,40,61.6,4.4
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,15,Male,33,62.7,4.1
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,16,Male,23,66.1,4.1
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,6,Female,25,46.5,2.9
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,7,Female,31,47.7,2.8
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,8,Female,36,49.1,2.9
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,9,Female,31,50.8,2.9
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,10,Female,35,51.5,2.7
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,11,Female,30,52.4,2.8
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,12,Female,27,54.6,3.9
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,13,Female,29,55.4,3.8
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,14,Female,25,56.8,3.5
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,15,Female,19,58.9,3.4
81,Linear,Condylion-Gonion,CO-GO,33-27,condylion_gonion,16,Female,9,60.5,2.4
82,Linear,,,,,6,Male,,,
82,Linear,,,,,7,Male,,,
82,Linear,,,,,8,Male,,,
82,Linear,,,,,9,Male,,,
82,Linear,,,,,10,Male,,,
82,Linear,,,,,11,Male,,,
82,Linear,,,,,12,Male,,,
82,Linear,,,,,13,Male,,,
82,Linear,,,,,14,Male,,,
82,Linear,,,,,15,Male,,,
82,Linear,,,,,16,Male,,,
82,Linear,,,,,6,Female,,,
82,Linear,,,,,7,Female,,,
82,Linear,,,,,8,Female,,,
82,Linear,,,,,9,Female,,,
82,Linear,,,,,10,Female,,,
82,Linear,,,,,11,Female,,,
82,Linear,,,,,12,Female,,,
82,Linear,,,,,13,Female,,,
82,Linear,,,,,14,Female,,,
82,Linear,,,,,15,Female,,,
82,Linear,,,,,16,Female,,,
83,Linear,,,,,6,Male,,,
83,Linear,,,,,7,Male,,,
83,Linear,,,,,8,Male,,,
83,Linear,,,,,9,Male,,,
83,Linear,,,,,10,Male,,,
83,Linear,,,,,11,Male,,,
83,Linear,,,,,12,Male,,,
83,Linear,,,,,13,Male,,,
83,Linear,,,,,14,Male,,,
83,Linear,,,,,15,Male,,,
83,Linear,,,,,16,Male,,,
83,Linear,,,,,6,Female,,,
83,Linear,,,,,7,Female,,,
83,Linear,,,,,8,Female,,,
83,Linear,,,,,9,Female,,,
83,Linear,,,,,10,Female,,,
83,Linear,,,,,11,Female,,,
83,Linear,,,,,12,Female,,,
83,Linear,,,,,13,Female,,,
83,Linear,,,,,14,Female,,,
83,Linear,,,,,15,Female,,,
83,Linear,,,,,16,Female,,,
84,Linear,,,,,6,Male,,,
84,Linear,,,,,7,Male,,,
84,Linear,,,,,8,Male,,,
84,Linear,,,,,9,Male,,,
84,Linear,,,,,10,Male,,,
84,Linear,,,,,11,Male,,,
84,Linear,,,,,12,Male,,,
84,Linear,,,,,13,Male,,,
84,Linear,,,,,14,Male,,,
84,Linear,,,,,15,Male,,,
84,Linear,,,,,16,Male,,,
84,Linear,,,,,6,Female,,,
84,Linear,,,,,7,Female,,,
84,Linear,,,,,8,Female,,,
84,Linear,,,,,9,Female,,,
84,Linear,,,,,10,Female,,,
84,Linear,,,,,11,Female,,,
84,Linear,,,,,12,Female,,,
84,Linear,,,,,13,Female,,,
84,Linear,,,,,14,Female,,,
84,Linear,,,,,15,Female,,,
84,Linear,,,,,16,Female,,,
85,Linear,Articulare-Pogonion,AR-PG,31-3,articulare_pogonion,6,Male,37,96.8,3.7
85,Linear,Articulare-Pogonion,AR-PG,31-3,articulare_pogonion,7,Male,44,99.1,3.2
